1/7/2019,EBMT,16.79,USD
1/7/2019,ENFC,22,USD
1/7/2019,FFIN,58.72,USD
1/7/2019,FISI,26.96,USD
1/7/2019,FNB,10.56,USD
1/7/2019,FNWB,15.3,USD
1/7/2019,FRBA,11.9,USD
1/7/2019,FRBK,6.38,USD
1/7/2019,FUNC,16.26,USD
1/7/2019,GCBC,30.99999993,USD
1/7/2019,HIFS,203.5000003,USD
1/7/2019,KRNY,13.38,USD
1/7/2019,LOB,15.63,USD
1/7/2019,MSL,11.09,USD
1/7/2019,NCOM,38.01,USD
1/7/2019,NKSH,37,USD
1/7/2019,ORRF,18.99,USD
1/7/2019,PBHC,14.01,USD
1/7/2019,PBIP US,17.98,USD
1/7/2019,SASR,33.17,USD
1/7/2019,SBBX,21.3,USD
1/7/2019,SMBK,17.39,USD
1/7/2019,SMMF,20.26,USD
1/7/2019,SVBI,7.9237,USD
1/7/2019,SYBT,34.76,USD
1/7/2019,TCFC,29.94,USD
1/7/2019,TSC,20.52,USD
1/7/2019,VBTX,21.97,USD
1/8/2019,ACBI,17.99,USD
1/8/2019,AROW,33.68,USD
1/8/2019,ASRV,4.07,USD
1/8/2019,BWFG,29.14,USD
1/8/2019,CVCY,18.69,USD
1/8/2019,CVLY,22.95,USD
1/8/2019,CWBC,10.19969986,USD
1/8/2019,EBMT,16.59259259,USD
1/8/2019,ENFC,21.88,USD
1/8/2019,FFIN,60.2,USD
1/8/2019,FISI,27.42,USD
1/8/2019,FNB,10.62,USD
1/8/2019,FNWB,15.43,USD
1/8/2019,FRBA,11.9,USD
1/8/2019,FRBK,6.35,USD
1/8/2019,FUNC,16.5,USD
1/8/2019,GCBC,30.95999972,USD
1/8/2019,HIFS,206.7000008,USD
1/8/2019,KRNY,13.43,USD
1/8/2019,LOB,15.83,USD
1/8/2019,MSL,11.07,USD
1/8/2019,NCOM,37.86,USD
1/8/2019,NKSH,37.1,USD
1/8/2019,ORRF,19.71,USD
1/8/2019,PBHC,14.21,USD
1/8/2019,PBIP US,18.08,USD
1/8/2019,SASR,33.55,USD
1/8/2019,SBBX,21.4,USD
1/8/2019,SMBK,17.5,USD
1/8/2019,SMMF,20.48,USD
1/8/2019,SVBI,7.9,USD
1/8/2019,SYBT,34.46,USD
1/8/2019,TCFC,29.74,USD
1/8/2019,TSC,20.73,USD
1/8/2019,VBTX,22,USD
1/9/2019,ACBI,17.93,USD
1/9/2019,AROW,33.7,USD
1/9/2019,ASRV,4.0954,USD
1/9/2019,BWFG,28.98,USD
1/9/2019,CVCY,18.42,USD
